id	round	category	surface	owner	command	evidence
001	fourth	replay	mixed-transcript	transcript-rendering	cargo test -p yode-tui latest_focus_mixed_tool_system_and_error_runs	app/scrollback latest focus
002	fourth	replay	markdown-cjk	markdown-rendering	cargo test -p yode-tui cjk_tables_render_without_losing_cells	chat_markdown CJK table
003	fourth	replay	remote-workflow	remote-workflow	cargo test -p yode-tui grouped_system_entries_names_remote_review_and_workflow_batches	system batch remote/workflow
004	fourth	replay	hook-task-recovery	hooks-tasks	cargo test -p yode-tui build_runtime_timeline_merges_dated_state_and_artifact_events	runtime timeline hooks/recovery
005	fourth	replay	inspector-round-trip	inspector-confirm	cargo test -p yode-tui inspector_internal_actions_resolve_pending_confirmation	confirm inspector action
006	fourth	snapshot	diff-budget	snapshot-governance	bash scripts/diff-output-regression-snapshot.sh	snapshot diff helper
007	fourth	snapshot	stale-artifact	snapshot-governance	bash scripts/build-snapshot-catalogs.sh	catalog freshness
008	fourth	snapshot	ci-dry-run	snapshot-governance	bash scripts/parity-ci-dry-run.sh	CI dry-run
009	fourth	snapshot	docs-link-validation	docs-governance	bash scripts/parity-fixture-audit.sh	docs link audit
010	fourth	snapshot	fixture-minimization	fixture-governance	bash scripts/parity-fixture-audit.sh	fixture manifest
011	fourth	replay	subagent-batch	transcript-rendering	cargo test -p yode-tui grouped_subagent_batch_compacts_multiple_segments	subagent batch
012	fourth	replay	ask-user	transcript-rendering	cargo test -p yode-tui ask_user_entries_render_question_framing	ask-user framing
013	fourth	replay	export-bundle	export-artifacts	cargo test -p yode-tui print_export_regression_snapshot	export snapshot
014	fourth	replay	permission-denial	permissions	cargo test -p yode-tui rule_and_suggestion_helpers_render	permission suggestions
015	fourth	replay	prompt-cache-break	prompt-cache	cargo test -p yode-tui build_runtime_timeline_merges_dated_state_and_artifact_events	prompt cache timeline
016	fourth	snapshot	section-owner-map	snapshot-governance	bash scripts/parity-owner-route.sh transcript	transcript owner route
017	fourth	snapshot	output-stability	snapshot-governance	bash scripts/output-regression-snapshot.sh	output snapshot
018	fourth	snapshot	ansi-hyperlink-normalization	snapshot-governance	bash scripts/parity-fixture-audit.sh	normalization policy
019	fourth	snapshot	cjk-width-baseline	markdown-rendering	cargo test -p yode-tui cjk_tables_render_without_losing_cells	CJK width baseline
020	fourth	snapshot	closeout	snapshot-governance	bash scripts/parity-tracker-summary.sh docs/optimization/236-fourth-100-claude-output-parity-tracker.md	tracker summary
021	fourth	visual	markdown-heading	markdown-rendering	cargo test -p yode-tui heading_wrap_continuations_keep_heading_style	heading wrap
022	fourth	visual	markdown-list	markdown-rendering	cargo test -p yode-tui nested_bullets_keep_distinct_indentation_and_markers	list nesting
023	fourth	visual	markdown-table	markdown-rendering	cargo test -p yode-tui tables_wrap_to_fit_requested_width	table width
024	fourth	visual	markdown-code-fence	markdown-rendering	cargo test -p yode-tui code_fence_caption_stays_dense_and_labeled	code fence
025	fourth	visual	transcript-latest-focus	transcript-rendering	cargo test -p yode-tui latest_focus_mixed_tool_system_and_error_runs	latest focus
026	fourth	visual	grouped-system	transcript-rendering	cargo test -p yode-tui scrollback_grouped_system_entries_name_remote_review_and_workflow_batches	grouped system
027	fourth	visual	grouped-tool	transcript-rendering	cargo test -p yode-tui latest_tool_entry_keeps_metadata_while_older_entries_collapse	grouped tool
028	fourth	visual	subagent-batch	transcript-rendering	cargo test -p yode-tui renders_grouped_subagent_batch_summary	subagent visual
029	fourth	visual	inspector-panel	inspector-confirm	cargo test -p yode-tui panel_stack_tracks_active_layer	inspector panel
030	fourth	visual	confirm-panel	inspector-confirm	cargo test -p yode-tui confirmation_density_switches_on_narrow_widths	confirm panel
031	fourth	visual	narrow-terminal	responsive-ui	cargo test -p yode-tui status_bar_density_compacts_on_narrow_widths	narrow smoke
032	fourth	visual	medium-terminal	responsive-ui	cargo test -p yode-tui preview_and_timeline_panels_render_headers_and_footer	medium smoke
033	fourth	visual	wide-terminal	responsive-ui	cargo test -p yode-tui centered_panel_rect_respects_narrow_widths	wide smoke
034	fourth	visual	hyperlink-terminal	markdown-rendering	cargo test -p yode-tui hyperlink_text_keeps_underline_intensity	hyperlink smoke
035	fourth	visual	cjk-terminal	markdown-rendering	cargo test -p yode-tui cjk_tables_render_without_losing_cells	CJK smoke
036	fourth	visual	color-hierarchy	rendering-governance	cargo test -p yode-tui confirmation_uses_user_facing_tool_name_and_risk_hint	color hierarchy
037	fourth	visual	density-token	rendering-governance	cargo test -p yode-tui tool_runtime_summary_text_is_compact	density token
038	fourth	visual	prefix-gutter	transcript-rendering	cargo test -p yode-tui transcript_line_prefixes_stay_consistent_across_core_roles	prefix gutter
039	fourth	visual	footer-hint	inspector-confirm	cargo test -p yode-tui empty_actions_and_pagination_render_fallbacks	footer hint
040	fourth	visual	focus-selection	inspector-confirm	cargo test -p yode-tui inspector_action_focus_cycles_when_actions_exist	focus selection
041	fourth	visual	scroll-offset	inspector-confirm	cargo test -p yode-tui pager_state_clamps_selection_into_visible_range	scroll offset
042	fourth	visual	streaming-preview	streaming-rendering	cargo test -p yode-tui streaming_boundary_advances_monotonically_from_existing_prefix	streaming preview
